,Lights,Refrigerator,Kitchen stove,Dishwasher,Washer,Dryer,Freezer,Other Appliances,Total (5 min)
Time,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W)
0:00:00,400,0,0,0,0,0,249,92,741
0:05:00,400,0,0,0,0,0,240,92,732
0:10:00,400,0,0,0,0,0,240,92,732
0:15:00,400,159,0,0,0,0,232,92,883
0:20:00,400,501,0,0,0,0,159,92,1152
0:25:00,400,484,0,0,0,0,0,92,976
0:30:00,400,484,0,0,0,0,0,92,976
0:35:00,400,468,0,0,0,0,0,92,960
0:40:00,400,320,0,0,0,0,0,92,812
0:45:00,400,0,0,0,0,0,0,92,492
0:50:00,400,0,0,0,0,0,0,92,492
0:55:00,400,0,0,0,0,0,0,92,492
1:00:00,400,0,0,0,0,0,0,92,492
1:05:00,400,0,0,0,0,0,79,92,571
1:10:00,400,0,0,0,0,0,249,312,961
1:15:00,400,0,0,0,0,0,240,312,952
1:20:00,400,0,0,0,0,0,240,312,952
1:25:00,400,159,0,0,0,0,232,312,1103
1:30:00,400,501,0,0,0,0,159,312,1372
1:35:00,0,484,0,0,0,0,0,312,796
1:40:00,0,484,0,0,0,0,0,312,796
1:45:00,0,468,0,0,0,0,0,312,780
1:50:00,0,320,0,0,0,0,0,562,882
1:55:00,0,0,0,0,0,0,0,562,562
2:00:00,240,0,0,0,0,0,0,562,802
2:05:00,240,0,0,0,0,0,0,562,802
2:10:00,240,0,0,0,0,0,0,562,802
2:15:00,240,0,0,0,0,0,79,562,881
2:20:00,240,0,0,0,0,0,249,562,1051
2:25:00,240,0,0,0,0,0,240,312,792
2:30:00,240,0,0,0,0,0,240,492,972
2:35:00,240,159,0,0,0,0,232,492,1123
2:40:00,240,501,0,0,0,0,159,492,1392
2:45:00,240,484,0,0,0,0,0,492,1216
2:50:00,240,484,0,0,0,0,0,1312,2036
2:55:00,240,468,0,0,0,0,0,1062,1770
3:00:00,240,320,0,0,0,0,0,1092,1652
3:05:00,240,0,0,0,0,0,0,1092,1332
3:10:00,240,0,0,0,0,0,0,1092,1332
3:15:00,240,0,0,0,0,0,0,92,332
3:20:00,240,0,0,0,0,0,0,92,332
3:25:00,240,0,0,0,0,0,79,92,411
3:30:00,240,0,0,0,0,0,249,92,581
3:35:00,240,0,0,0,0,0,240,92,572
3:40:00,240,0,0,0,0,0,240,92,572
3:45:00,240,159,0,0,0,0,232,92,723
3:50:00,240,501,0,0,0,0,159,62,962
3:55:00,0,484,0,0,0,0,0,62,546
4:00:00,0,484,0,0,0,0,0,62,546
4:05:00,0,468,0,0,0,0,0,62,530
4:10:00,0,320,0,0,0,0,0,62,382
4:15:00,0,0,0,0,0,0,0,62,62
4:20:00,0,0,0,0,0,0,0,62,62
4:25:00,0,0,0,0,0,0,0,62,62
4:30:00,0,0,0,0,0,0,0,62,62
4:35:00,0,0,0,0,0,0,79,62,141
4:40:00,0,0,0,0,0,0,249,67,316
4:45:00,0,0,0,0,0,0,240,67,307
4:50:00,0,0,0,0,0,0,240,67,307
4:55:00,0,159,0,0,0,0,232,67,458
5:00:00,820,501,0,0,0,0,159,67,1547
5:05:00,820,484,0,0,0,0,0,317,1621
5:10:00,820,484,0,0,0,0,0,317,1621
5:15:00,820,468,0,0,0,0,0,317,1605
5:20:00,820,320,0,0,0,0,0,317,1457
5:25:00,820,0,0,0,0,0,0,317,1137
5:30:00,820,0,0,0,0,0,0,317,1137
5:35:00,820,0,0,0,0,0,0,312,1132
5:40:00,820,0,0,0,0,0,0,312,1132
5:45:00,820,0,0,0,0,0,79,412,1311
5:50:00,820,0,0,0,0,0,249,412,1481
5:55:00,820,0,0,0,0,0,240,412,1472
6:00:00,1640,0,0,0,0,0,240,412,2292
6:05:00,1640,159,0,0,0,0,232,412,2443
6:10:00,1640,501,0,0,0,0,159,412,2712
6:15:00,1640,484,0,0,0,0,0,412,2536
6:20:00,820,484,0,0,0,0,0,442,1746
6:25:00,820,1124,0,0,0,0,0,442,2386
6:30:00,820,240,0,0,0,0,0,442,1502
6:35:00,820,0,0,0,0,0,0,312,1132
6:40:00,820,0,0,0,0,0,0,312,1132
6:45:00,820,0,0,0,0,0,0,312,1132
6:50:00,820,0,0,0,505,0,0,312,1637
6:55:00,820,80,0,0,505,0,79,312,1796
7:00:00,820,251,0,0,505,0,249,312,2136
7:05:00,0,259,0,0,0,0,240,62,561
7:10:00,0,251,0,0,0,0,240,62,553
7:15:00,0,322,0,0,505,0,232,62,1121
7:20:00,0,493,0,0,505,0,159,67,1224
7:25:00,0,476,0,0,505,0,0,67,1048
7:30:00,0,484,0,0,0,0,0,67,551
7:35:00,0,468,0,0,0,0,0,67,535
7:40:00,0,361,0,0,0,0,0,67,428
7:45:00,400,80,0,0,0,0,0,247,727
7:50:00,400,0,0,0,0,0,0,247,647
7:55:00,400,0,0,0,0,0,0,247,647
8:00:00,400,0,0,0,0,0,0,247,647
8:05:00,400,0,0,0,0,0,79,247,726
8:10:00,400,0,0,0,0,0,249,247,896
8:15:00,400,0,0,0,0,0,240,247,887
8:20:00,400,0,0,0,0,0,240,247,887
8:25:00,0,159,0,0,0,0,232,247,638
8:30:00,0,501,0,0,0,0,159,247,907
8:35:00,0,484,0,0,0,0,0,247,731
8:40:00,0,484,0,0,0,0,0,247,731
8:45:00,0,1124,0,0,0,0,0,247,1371
8:50:00,0,240,0,0,0,0,0,242,482
8:55:00,0,0,0,0,0,0,0,242,242
9:00:00,0,0,0,0,0,0,0,242,242
9:05:00,0,0,0,0,0,0,0,242,242
9:10:00,0,0,0,0,0,0,0,242,242
9:15:00,0,80,0,0,0,0,79,242,401
9:20:00,0,251,0,0,0,0,249,242,741
9:25:00,0,259,0,0,0,0,240,242,741
9:30:00,0,251,0,0,0,0,240,62,553
9:35:00,0,322,0,0,0,0,883,62,1267
9:40:00,120,493,0,0,0,0,79,62,754
9:45:00,120,476,0,0,0,0,0,62,658
9:50:00,120,484,0,0,0,0,0,62,666
9:55:00,120,468,0,0,0,0,0,62,650
10:00:00,520,361,0,0,0,0,0,62,943
10:05:00,520,80,0,0,0,0,79,62,741
10:10:00,520,0,0,0,0,0,249,62,831
10:15:00,520,0,0,0,0,0,257,62,839
10:20:00,400,0,0,0,0,0,249,62,711
10:25:00,400,0,0,0,0,0,240,62,702
10:30:00,400,0,0,0,0,0,240,62,702
10:35:00,400,0,0,0,0,0,232,62,694
10:40:00,400,0,1600,0,0,0,240,182,2422
10:45:00,400,159,1600,0,0,0,232,182,2573
10:50:00,400,501,1600,0,0,0,199,182,2883
10:55:00,400,484,1600,0,0,0,79,182,2745
11:00:00,400,484,1600,0,0,0,0,182,2666
11:05:00,400,468,1600,0,0,0,0,182,2650
11:10:00,400,320,1600,0,0,0,0,182,2502
11:15:00,520,0,0,0,0,0,0,182,702
11:20:00,120,0,0,0,0,0,0,182,302
11:25:00,940,0,0,0,0,0,0,182,1122
11:30:00,940,0,0,0,0,0,0,182,1122
11:35:00,940,0,0,0,0,0,79,182,1201
11:40:00,940,0,0,0,0,0,249,182,1371
11:45:00,940,0,0,0,0,0,240,182,1362
11:50:00,940,0,0,0,0,0,240,182,1362
11:55:00,940,159,0,0,0,0,232,182,1513
12:00:00,940,501,0,0,0,0,159,62,1662
12:05:00,1140,484,0,0,0,0,0,62,1686
12:10:00,1140,484,0,0,0,0,0,62,1686
12:15:00,320,468,0,0,0,0,0,62,850
12:20:00,320,320,0,0,0,0,0,62,702
12:25:00,320,0,0,0,0,0,0,62,382
12:30:00,320,0,0,0,0,0,0,62,382
12:35:00,200,0,0,0,0,0,0,62,262
12:40:00,0,0,0,0,0,0,0,62,62
12:45:00,0,0,0,0,0,0,79,62,141
12:50:00,0,0,0,0,0,0,249,62,311
12:55:00,0,0,0,0,0,0,240,62,302
13:00:00,240,0,0,0,0,0,240,1062,1542
13:05:00,240,159,0,0,0,0,232,1062,1693
13:10:00,240,501,0,0,0,0,159,1062,1962
13:15:00,240,484,0,0,0,0,0,62,786
13:20:00,240,484,0,0,0,0,0,62,786
13:25:00,240,468,0,0,0,0,0,62,770
13:30:00,240,320,0,0,0,0,0,162,722
13:35:00,240,0,0,0,0,0,0,162,402
13:40:00,440,0,0,0,0,0,0,162,602
13:45:00,440,0,0,0,0,0,0,162,602
13:50:00,440,0,0,0,0,0,0,162,602
13:55:00,440,0,0,0,0,0,79,162,681
14:00:00,440,0,0,0,0,0,249,412,1101
14:05:00,440,0,0,0,0,0,240,312,992
14:10:00,440,0,0,0,0,0,240,312,992
14:15:00,0,159,0,0,0,0,232,312,703
14:20:00,0,501,0,0,0,0,159,312,972
14:25:00,0,484,0,0,0,0,0,312,796
14:30:00,0,484,1600,0,0,0,0,312,2396
14:35:00,0,468,1600,0,0,0,0,312,2380
14:40:00,0,320,1600,0,0,0,0,312,2232
14:45:00,0,0,1600,0,0,0,0,312,1912
14:50:00,0,0,1600,0,0,0,0,312,1912
14:55:00,0,0,1600,0,0,0,0,312,1912
15:00:00,0,0,1600,0,0,0,0,312,1912
15:05:00,0,0,1600,0,0,0,79,62,1741
15:10:00,0,0,1600,0,0,0,249,62,1911
15:15:00,0,0,0,0,0,0,240,62,302
15:20:00,0,0,0,0,0,0,240,62,302
15:25:00,0,159,0,0,0,0,232,62,453
15:30:00,0,501,0,0,0,0,159,62,722
15:35:00,0,484,0,0,0,0,0,62,546
15:40:00,0,484,0,0,0,0,0,62,546
15:45:00,0,468,0,0,0,0,0,62,530
15:50:00,0,320,0,0,0,0,0,62,382
15:55:00,400,0,0,0,0,0,0,62,462
16:00:00,400,0,0,0,0,0,0,62,462
16:05:00,400,0,0,0,0,0,0,62,462
16:10:00,400,0,0,0,0,0,0,312,712
16:15:00,1220,0,0,0,0,0,79,312,1611
16:20:00,1220,0,0,0,0,0,249,312,1781
16:25:00,1220,0,0,0,0,0,240,312,1772
16:30:00,1220,0,0,0,0,0,240,312,1772
16:35:00,1220,159,0,0,0,0,232,312,1923
16:40:00,1220,501,0,0,0,0,159,312,2192
16:45:00,520,484,0,0,0,0,0,312,1316
16:50:00,520,484,1600,0,0,0,0,312,2916
16:55:00,520,468,1600,0,0,0,0,312,2900
17:00:00,520,320,1600,0,0,0,0,312,2752
17:05:00,520,0,1600,0,0,0,0,412,2532
17:10:00,520,0,0,0,0,0,0,412,932
17:15:00,520,0,0,0,0,0,0,412,932
17:20:00,520,0,0,0,0,0,0,412,932
17:25:00,520,0,0,0,0,0,79,412,1011
