*label,BASECALC_GND_TEMP_CITY,"The BASECALC city used for this weather city. The values were cross referenced to CWEC or HOT2XP city names, for missing names the most representative (i.e. HDD and nearby) city was chosen by LS.",,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,BASECALC_GND_TEMP_PROVINCE,BASECALC province,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,BASECALC_GND_TEMP_AVG_C,The annual average ground temperature (depth of 3 m?),,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,BASECALC_GND_TEMP_AMPL_C,The amplitude which the ground temperature changes from the average throughout the year. For use with the Moore model,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,BASECALC_GND_TEMP_PHASE,The phase lag of the temperature rise (see Moore model or BASESIMP description),,,,,,,,,,,,,,,,,,,,,,,,,,,
*description,CWEC stands for Canadian Weather for Energy Calculations. It is based on many different years weather data and is designed to be representative of the climate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,CWEC_FILE,CWEC filename for all Canadian climates from the extras/climate folder of the ESP-r subversion respository.,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,CWEC_CITY,CWEC weather city name provided in the ascii CWEC data. These were grammatically corrected by Lukas Swan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,CWEC_PROVINCE_ABBREVIATION,CWEC province name abbreviation provided in the ascii CWEC data. These were entered or corrected by Lukas Swan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,CWEC_PROVINCE_NAME,CWEC province full name. These were entered by Lukas Swan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,CWEC_YEAR,"CWEC weather year provided in the ascii CWEC data. As CWEC is representative from many years, the year value is considered arbitrary.",,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,CWEC_LATITUDE,CWEC latitude provided in the ascii CWEC data.,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,CWEC_LONGITUDE_DIFF,"CWEC longitude difference from nearest meridian, provided in the ascii CWEC data. Negative is West and positive is East of the meridian.",,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,CWEC_RAD_FLAG,CWEC radiation flag provided in the ascii CWEC data. Its use is unknown?,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,CWEC_EC_LATITUDE,CWEC latitude from data obtained for similarly names locations on the Environment Canada Website for Canadian Climate Normals. These were entered by Lukas Swan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,CWEC_EC_LONGITUDE,CWEC longitude from data obtained for similarly names locations on the Environment Canada Website for Canadian Climate Normals. These were entered by Lukas Swan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,CWEC_EC_HDD_18C,CWEC heating degree days based on 18 degrees C from data obtained for similarly names locations on the Environment Canada Website for Canadian Climate Normals. These were entered by Lukas Swan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,CWEC_EC_CDD_24C,CWEC cooling degree days based on 24 degrees C from data obtained for similarly names locations on the Environment Canada Website for Canadian Climate Normals. These were entered by Lukas Swan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
*description,The following are the difference between the HOT2XP site and the CWEC site for weather comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,HOT2XP_CWEC_LATITUDE_DIFF,Difference between the HOT2XP latitude value and the most representiative CWEC site,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,HOT2XP_CWEC_LONGITUDE_DIFF,Difference between the HOT2XP longitude value and the most representiative CWEC site,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,HOT2XP_CWEC_HDD_DIFF,Difference between the HOT2XP HDD value and the most representiative CWEC site,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,HOT2XP_CWEC_CDD_DIFF,Difference between the HOT2XP CDD value and the most representiative CWEC site,,,,,,,,,,,,,,,,,,,,,,,,,,,
*label,HOT2XP_CWEC_HDD_RATIO,The ratio of HOT2XP HDD site value to the most representative CWEC site,,,,,,,,,,,,,,,,,,,,,,,,,,,
*blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
