Geographic code,Geographic name,Geographic type,"Incompletely enumerated Indian reserves and Indian settlements, 2006","Population, 2006","Population, 2001",2001 adjusted population flag,"Incompletely enumerated Indian reserves and Indian settlements, 2001","Population, growth or decline","Total private dwellings, 2006","Private dwellings occupied by usual residents, 2006","Land area km2, 2006","Population density, 2006","National population rank, 2006"
3524001,Oakville (Ont.),T  ,F,165613,144738,F,F,14.4,58828,56528,138.5604,1195.2,26
3524002,Burlington (Ont.),CY ,F,164415,150836,F,F,9,65340,63159,185.7403,885.2,27
3519038,Richmond Hill (Ont.),T  ,F,162704,132030,F,F,23.2,53028,51000,100.8917,1612.7,28
3553005,Greater Sudbury / Grand Sudbury (Ont.),C  ,F,157857,155219,F,F,1.7,69430,64940,3200.5632,49.3,29
2443027,Sherbrooke (Que.),V  ,F,147427,138785,T,F,6.2,70444,65991,353.4647,417.1,30
2494068,Saguenay (Que.),V  ,F,143692,147133,T,F,-2.3,63632,61274,1126.2674,127.6,31
3518013,Oshawa (Ont.),CY ,F,141590,139051,F,F,1.8,57469,54923,145.6676,972,32
3526053,St. Catharines (Ont.),CY ,F,131989,129170,F,F,2.2,57790,54730,96.1109,1373.3,33
2425213,Lévis (Que.),V  ,F,130006,121999,T,F,6.6,54425,52625,449.315,289.3,34
3543042,Barrie (Ont.),CY ,F,128430,103710,F,F,23.8,48196,46533,76.9938,1668.1,35
2437067,Trois-Rivières (Que.),V  ,F,126323,122395,T,F,3.2,60682,57557,288.9247,437.2,36
5909052,Abbotsford (B.C.),CY ,F,123864,115494,T,F,7.2,45286,43564,359.3615,344.7,37
3530010,Cambridge (Ont.),CY ,F,120371,110372,F,F,9.1,44589,43275,112.8645,1066.5,38
3510010,Kingston (Ont.),CY ,F,117207,114195,F,F,2.6,53838,48863,450.3856,260.2,39
3523008,Guelph (Ont.),CY ,F,114943,106170,F,F,8.3,47969,44706,86.7198,1325.5,40
5915034,Coquitlam (B.C.),CY ,F,114565,112890,F,F,1.5,43241,41239,121.6892,941.5,41
3518009,Whitby (Ont.),T  ,F,111184,87413,F,F,27.2,38129,37240,146.5247,758.8,42
3558004,Thunder Bay (Ont.),CY ,F,109140,109016,F,F,0.1,49023,46266,328.4798,332.3,43
5917021,Saanich (B.C.),DM ,F,108265,103654,F,F,4.4,48105,44513,103.4359,1046.7,44
3536020,Chatham-Kent (Ont.),MU ,F,108177,107341,F,F,0.8,46614,43562,2458.0587,44,45
5935010,Kelowna (B.C.),CY ,F,106707,96288,F,F,10.8,47727,44912,211.6919,504.1,46
1217030,Cape Breton (N.S.),RGM,F,102250,105968,F,F,-3.5,45342,42026,2433.326,42,47
1001519,St. John's (N.L.),CY ,F,100646,99182,F,F,1.5,45317,41518,446.043,225.6,48
3530016,Waterloo (Ont.),CY ,F,97475,86543,F,F,12.6,40659,36779,64.1003,1520.7,49
5915011,Delta (B.C.),DM ,F,96723,96950,F,F,-0.2,35125,33551,183.6984,526.5,50

Note:,,,,,,,,,,,,,
"Incompletely enumerated Indian reserves and Indian settlements, 2006",T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements.,,,,,,,,,,,,
"Incompletely enumerated Indian reserves and Indian settlements, 2001",T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements.,,,,,,,,,,,,
2001 adjusted population flag,T = adjusted figure due to boundary change.,,,,,,,,,,,,
2001 adjusted total private dwellings flag,T = adjusted figure due to boundary change.,,,,,,,,,,,,
2001 adjusted private dwellings occupied by usual residents flag,T = adjusted figure due to boundary change.
"For further information, refer to: http://www12.statcan.ca/english/census06/data/popdwell/SpecialNotes.cfm.",

Content considerations:,
"The 2006 Census population counts for a particular area represent the number of Canadians whose usual place of residence is in that area, regardless of where they happened to be on Census Day. Also included are any Canadians who were staying in that area on Census Day and who had no usual place of residence elsewhere in Canada, as well as those considered to be non-permanent residents.",
"For most areas, there is little difference between the number of usual residents and the number of people staying in the area on Census Day. For certain places, however, such as tourist or vacation areas, or those including large work camps, the number of people staying in that area at any particular time could significantly exceed the number of usual residents shown here. The population counts include Canadians living in other countries, but do not include foreign residents living in Canada. Given these differences, users are advised not to interpret population counts as being the number of people living in the reported dwellings.",
"The dwelling counts refer to total private dwellings and private dwellings occupied by usual residents in Canada. The census dwelling counts do not include collective dwellings, which are dwellings of a commercial, institutional or communal nature. The usual residents in collective dwellings are, however, included in the population counts.",
"Changes occur to the names, boundaries, and other characteristics of geographic areas (e.g., census subdivisions may amalgamate, or there may be an annexation or a change of name or status). Since the geographic framework is used for census data collection, the geographic reference date must be set several months before the date of the census in order to have these changes made in time. For the 2006 Census, the geographic reference date was January 1, 2006.",
"Users wishing to compare 2006 Census data with those of other censuses should then take into account that the boundaries of geographic areas may change from one census to another. In order to facilitate comparison, the 2001 Census counts are adjusted as needed to take into account boundary changes between the 2001 and 2006 censuses. This symbol may also refer to corrections to the 2001 counts; however, most of these are the result of boundary changes. This symbol is also used to identify areas that have been created since 2001, such as newly incorporated municipalities (census subdivisions) and new designated places (DPLs).",
"Land area is the area in square kilometres of the land-based portions of standard geographic areas. The data are unofficial, and are provided for the sole purpose of calculating population density. Land area data for the standard geographic areas reflect the boundaries in effect on January 1, 2006 (the geographic reference date for the 2006 Census of Canada).",
"For further information, refer to: http://www12.statcan.ca/english/census06/data/popdwell/Content.cfm.",

"Source: Statistics Canada, 2006 Census of Population.",
"How to cite: Statistics Canada. 2007. Population and dwelling counts, for Canada and census subdivisions (municipalities), 2006 and 2001 censuses - 100% data (table). Population and Dwelling Count Highlight Tables. 2006 Census.",
